GND-ID,Wikidata-Entity,Person in index
4032379-1,Q133331,https://pta.bbaw.de/group/PTA_O00001
,Q1194032,https://pta.bbaw.de/group/PTA_O00002
,Q83922,https://pta.bbaw.de/group/PTA_O00003
,Q398180,https://pta.bbaw.de/group/PTA_O00004
,Q1293300,https://pta.bbaw.de/group/PTA_O00006
4002455-6,Q43412,https://pta.bbaw.de/group/PTA_O00010
4051468-7,Q182651,https://pta.bbaw.de/group/PTA_O00013
4084746-9,Q1061510,https://pta.bbaw.de/group/PTA_O00014
4122633-1,Q1651392,https://pta.bbaw.de/group/PTA_O00015
,Q16707860,https://pta.bbaw.de/group/PTA_O00016
,Q106039,https://pta.bbaw.de/group/PTA_O00018
4368744-1,Q131165,https://pta.bbaw.de/group/PTA_O00019
4223571-6,Q163329,https://pta.bbaw.de/group/PTA_O00020
4019107-2,Q11073103,https://pta.bbaw.de/group/PTA_O00021
4115909-3,Q484206,https://pta.bbaw.de/group/PTA_O00022
4142791-9,Q1194234,https://pta.bbaw.de/group/PTA_O00023
4174130-4,Q26403,https://pta.bbaw.de/group/PTA_O00024
,Q5518599,https://pta.bbaw.de/group/PTA_O00026
4084762-7,Q2918061,https://pta.bbaw.de/group/PTA_O00027
4331728-5,Q940785,https://pta.bbaw.de/group/PTA_O00028
,Q797930,https://pta.bbaw.de/group/PTA_O00029
,Q8735,https://pta.bbaw.de/group/PTA_O00030
4055278-0,Q131802,https://pta.bbaw.de/group/PTA_O00032
4355044-7,Q745718,https://pta.bbaw.de/group/PTA_O00033
,Q200969,https://pta.bbaw.de/group/PTA_O00035
4045777-1,Q193776,https://pta.bbaw.de/group/PTA_O00036
4211510-3,Q11934533,https://pta.bbaw.de/group/PTA_O00037
4010071-6,Q106039,https://pta.bbaw.de/group/PTA_O00038
4054582-9,Q29334,https://pta.bbaw.de/group/PTA_O00039
4076778-4,Q2277,https://pta.bbaw.de/group/PTA_O00041
4120416-5,Q23670057,https://pta.bbaw.de/group/PTA_O00042
4106468-9,Q878607,https://pta.bbaw.de/group/PTA_O00044
4124605-6,Q134313,https://pta.bbaw.de/group/PTA_O00045
4036915-8,Q107013,https://pta.bbaw.de/group/PTA_O00046
118576615,Q400019,https://pta.bbaw.de/group/PTA_O00047
4278477-3,Q203507,https://pta.bbaw.de/group/PTA_O00048
4072478-5,Q5406,https://pta.bbaw.de/group/PTA_O00049
